SR. No,Title,Published_day,Published_date,Published_time,Views,Likes,Comments,Video_Duration
72,DESTROY Distraction to x5 Your Productivity with these 3 GREAT Habits | Robin Sharma,Monday,2023-10-23,07:00:11,39840,2457,176,5Min 13Sec
73,Finally! The Title of My New Book,Sunday,2023-10-22,21:45:08,2491,175,18,46Sec
74,The KEY To Sustained Habit Installation #leadership #business #productivity,Thursday,2023-10-19,15:20:15,6947,547,7,32Sec
75,Nothing Happens Until You Start #leadership #business #productivity,Friday,2023-10-13,18:58:03,5747,551,8,46Sec
76,It's Wiser to Handcraft One Masterwork Than Release 1000 Mediocrities #leadership #business,Friday,2023-10-06,16:11:04,5696,465,7,41Sec
77,Use Your Past as a Platform for Greater Possibility #leadership #business #productivity,Tuesday,2023-10-03,20:05:59,2545,245,4,25Sec
78,The 3 UNUSUAL Tools Tycoons Use for Extreme Productivity Prosperity and Peacefulness | Robin Sharma,Tuesday,2023-10-03,07:00:10,18378,909,62,4Min 49Sec
79,Embrace Failure to x25 Your Success #leadership #business #productivity,Monday,2023-10-02,18:42:12,2151,232,8,26Sec
80,How YOU Can Install Excellent Habits Over the Next 66 Days #leadership  #business #productivity,Saturday,2023-09-30,22:49:46,3104,286,6,20Sec
81,How to Have ERO Competition? #leadership #business #productivity,Friday,2023-09-29,18:13:42,6619,531,5,24Sec
82,A Simple Insight on Learning [To Get You to Your Next Level] #leadership #business #productivity,Saturday,2023-09-23,20:15:09,5265,453,2,38Sec
83,Get to Know the Dark Side of Your Genius #leadership #business #productivity,Tuesday,2023-09-19,22:16:16,4467,453,9,55Sec
84,Inhabit the Secret Universe of the World's Great Creatives #leadership #business #productivity,Monday,2023-09-18,22:11:04,2980,206,1,53Sec
85,A Powerful Insight for Deep Impact Leadership #leadership #business #productivity,Friday,2023-09-15,18:36:55,4860,442,4,54Sec
86,Failure Is Fuel for Success [If You Choose So] #leadership #business #productivity,Tuesday,2023-09-12,16:48:46,4851,423,11,56Sec
87,Easy Tactics for Great Mornings #leadership #business #productivity,Sunday,2023-09-10,22:48:14,9816,774,21,34Sec
88,A Great Life Grows From an Authentic One #leadership #business #productivity,Saturday,2023-09-09,03:11:28,6302,423,6,34Sec
89,We Are Born Into Brilliance #leadership #business #productivity,Sunday,2023-09-03,23:25:30,4637,379,6,55Sec
90,Why It's Incredibly Wise to Keep a Journal #leadership #business #productivity,Thursday,2023-08-31,16:00:15,4918,471,7,58Sec
91,The 5 R's of Grandmaster Performance | Robin Sharma,Wednesday,2023-08-30,07:53:57,20624,833,75,6Min 3Sec
92,You Can Fit In With the Herd or You Can Change the World [You Dont Get To Do Both] #leadership,Tuesday,2023-08-29,18:43:51,5665,540,13,58Sec
93,The Key to Sustained Habit Installation? #leadership #business #productivity,Sunday,2023-08-27,22:03:37,3885,366,10,45Sec
94,You Can Fit In With the Herd or You Can Change the World [You Don't Get To Do Both] #leadership,Saturday,2023-08-26,16:40:53,4206,274,14,40Sec
95,*Productivity* As An Element of a Magnificent Life? #leadership #productivity #business,Friday,2023-08-25,15:36:40,3968,471,49,38Sec
96,Audit Your Associations to Amplify Your Success #leadership #productivity #business,Thursday,2023-08-24,15:02:30,3359,244,10,24Sec
97,How to Live Fully While You're Alive #leadership #productivity #business,Tuesday,2023-08-22,18:39:15,5737,408,10,42Sec
98,An Insight to Help You Reclaim Your Authentic Power #leadership #productivity #business,Monday,2023-08-21,17:45:50,2988,271,3,38Sec
99,Overcome the #1 Fear Holding You Back from True Leadership + Excellent Living | Robin Sharma,Monday,2023-08-21,06:09:23,15610,596,67,5Min 41Sec
100,5 Tactics to Boost Your Focus #leadership #productivity #business,Saturday,2023-08-19,18:49:44,5949,569,24,48Sec
101,A Method to Beat Digital Distraction #leadership #productivity #business,Friday,2023-08-18,17:59:18,4092,326,4,46Sec
102,Lead With Kindness #leadership #productivity #business,Thursday,2023-08-17,13:12:47,2190,178,4,15Sec
103,Defeat Digital Distraction + Activate Legendary Productivity #leadership #productivity #business,Monday,2023-08-14,18:00:04,5423,519,17,59Sec
104,Confusion Is Nothing More Than Your Growth Unfolding #leadership #productivity #business,Friday,2023-08-11,20:33:14,9602,891,20,59Sec
105,Nothing Happens Until You Start #leadership #productivity #business,Monday,2023-08-07,16:51:31,4047,384,10,31Sec
106,Embrace Failure to x25 Your Success #leadership #productivity #business,Monday,2023-08-07,00:02:03,2152,208,5,26Sec
107,The GREATEST Success Habit of Super Leaders | Robin Sharma,Sunday,2023-08-06,14:09:00,21603,1105,228,4Min 48Sec
108,The Micro-Wins Advantage of High-Impact Humans #leadership #productivity #business,Saturday,2023-08-05,21:33:10,2278,219,3,21Sec
109,How YOU Can Install Excellent Habits Over the Next 66 Days #leadership #productivity #business,Friday,2023-08-04,19:31:39,2779,251,6,20Sec
110,The Number #1 Way to Win? #leadership #productivity #business,Monday,2023-07-31,17:59:02,3500,282,12,23Sec
111,The Mindset of Leadership #leadership #productivity #business,Saturday,2023-07-29,21:49:18,4305,398,7,52Sec
112,How Superstars x5 Their Productivity Quickly  | Robin Sharma,Saturday,2023-07-29,08:05:22,25224,1153,134,9Min 2Sec
113,Balance Your Mindset and Heartset to 5x Your Power #leadership #productivity #business,Friday,2023-07-28,19:13:33,8795,565,6,47Sec
114,Reinforce Your Top Priorities #leadership #productivity #business,Thursday,2023-07-27,20:50:42,4473,441,7,44Sec
115,An Insight to Help You Reclaim Your Authentic Power #leadership #productivity #business,Wednesday,2023-07-26,16:04:13,4302,427,14,58Sec
116,The Twin Cycles of Elite Performance #leadership #productivity #business,Monday,2023-07-24,21:23:20,5040,478,11,38Sec
117,Recode Your Emotional Architecture for Fearlessness #leadership #productivity #business,Monday,2023-07-24,01:32:36,4329,260,3,39Sec
118,5 Things to Make Today Much Better #leadership #productivity #business,Saturday,2023-07-22,16:36:35,5537,418,11,26Sec
119,We Become Our Conversations #leadership #productivity #business,Friday,2023-07-21,17:01:15,4598,405,7,31Sec
120,See Rest As a Productivity Tool #leadership #productivity #business,Thursday,2023-07-20,17:42:52,2645,199,5,30Sec
121,Know Your Mighty Mission #leadership #productivity #business,Wednesday,2023-07-19,18:13:15,2891,220,5,43Sec
122,It's Never Been Easier to Dominate Your Domain #leadership #productivity #business,Tuesday,2023-07-18,17:08:10,3557,280,3,41Sec
123,The Neurobiology of Genius Explained [Simply] #leadership #productivity #business,Monday,2023-07-17,16:12:11,3156,281,6,52Sec
124,Avoid Attention Residue to Dial in Your Focus #leadership #productivity #business,Sunday,2023-07-16,19:26:51,5439,483,8,46Sec
125,Todays a Great Day to Behave as the Person Youve Always Wanted to Be #leadership #productivity,Saturday,2023-07-15,20:56:41,2878,279,5,24Sec
126,Jump Start Your Commitment Around Execution [Ideas Are Worthless] #leadership #productivity,Friday,2023-07-14,17:07:50,4799,404,3,49Sec
127,The Secret to Untouchable Inner Peace #leadership #productivity #business,Thursday,2023-07-13,18:12:40,2963,220,3,36Sec
128,Lean Into Your Fears #leadership #business #productivity,Monday,2023-07-10,15:09:18,2796,253,3,41Sec
129,One Question to Ask Yourself #leadership #business #productivity,Sunday,2023-07-09,16:31:40,4288,379,8,43Sec
130,Why You Need to Stop Comparing Yourself to Others [Today] #leadership #productivity #business,Friday,2023-07-07,13:11:50,8591,719,14,58Sec
131,How Genuine Heroes Measure Their Greatness #leadership #productivity #business,Wednesday,2023-07-05,16:10:27,2774,210,8,21Sec
132,The Myth of Hustle and Grind #leadership #productivity #business,Friday,2023-06-30,15:10:13,2809,210,4,58Sec
133,Effort Breeds Reward #leadership #productivity #business,Wednesday,2023-06-28,19:05:03,5510,450,12,44Sec
134,The Key to Leading a Super Productive Life #leadership #productivity #business,Sunday,2023-06-25,19:32:29,4070,349,12,53Sec
135,"Defy ""The Culture of Comparison"" and Run Your Own Race #leadership #productivity #business",Friday,2023-06-23,16:17:25,5384,406,6,56Sec
136,You Can Fit In With the Herd or You Can Change the World #leadership #productivity #business,Monday,2023-06-19,14:38:21,3566,291,7,40Sec
137,Genius is a Daily Lifestyle [Not a Natural Gift] #leadership #productivity #business,Monday,2023-06-19,08:51:17,2837,236,11,44Sec
138,Enable Absolute Personal Responsibility [APR] to Take Your Power Back #leadership #productivity,Wednesday,2023-06-14,14:51:11,5214,435,10,48Sec
139,Why It's Incredibly Wise to Keep a Journal #leadership #productivity #business,Tuesday,2023-06-13,15:29:39,4828,409,4,30Sec
140,Persistency as a Pathway to Legendary #leadership #productivity #business,Monday,2023-06-12,17:09:53,3198,309,12,1Min 0Sec
141,The Victim VS. Leader Mindset #leadership #productivity #business,Wednesday,2023-06-07,19:41:21,3346,293,8,37Sec
142,Amplify Your Energy To Enable Peak Performance #leadership #productivity #business,Saturday,2023-06-03,20:19:38,4599,358,5,24Sec
143,Action Delayed Is Greatness Betrayed #leadership #productivity #business,Friday,2023-06-02,17:42:03,2927,229,8,51Sec
144,The Easiest Way to Master a New Skill: Robin Sharma on Learning,Thursday,2023-06-01,05:00:09,25786,998,77,7Min 59Sec
145,You Can Fit In With the Herd or You Can Change the World #leadership #productivity #business,Tuesday,2023-05-30,15:34:06,5609,544,7,45Sec
146,The Micro-Wins Advantage for Greatness #leadership #productivity #business,Monday,2023-05-29,15:57:00,3278,262,3,52Sec
147,Embrace Discomfort to Unlock Your Greatest Life #leadership #productivity #business,Thursday,2023-05-25,20:57:24,2572,258,5,26Sec
148,Escalate Your Self-Love and Restructure Your Self-Identity #leadership #productivity #business,Monday,2023-05-22,14:28:15,4852,407,4,38Sec
149,"""The Always Apprentice Habit"" of All True Luminaries #leadership #productivity #business",Sunday,2023-05-21,17:16:32,2476,181,3,21Sec
150,The Micro-Wins Advantage of High-Impact Humans #leadership #productivity #business,Wednesday,2023-05-17,14:47:26,1985,213,1,21Sec
151,How YOU Can Install Excellent Habits Over the Next 66 Days #leadership #productivity #business,Tuesday,2023-05-16,15:17:33,3964,342,3,20Sec
152,Embrace Failure to x25 Your Success #leadership #productivity #business,Monday,2023-05-15,12:32:38,2305,236,7,26Sec
153,Lead With Kindness #leadership #productivity #business,Sunday,2023-05-14,20:25:40,2344,184,3,15Sec
154,Use Your Past as a Platform for Greater Possibility #leadership #productivity #business,Friday,2023-05-12,19:21:02,2528,207,10,25Sec
155,The Taylor Swift Super Positivity Tool |  x25 Your Focus,Thursday,2023-05-11,16:13:39,28064,1332,75,7Min 3Sec
156,We Are Born Into Brilliance #leadership #productivity #business,Tuesday,2023-05-09,15:57:59,3057,180,1,46Sec
157,5 Hidden Habits to Transform Your Life | Robin Sharma,Friday,2023-04-21,14:48:05,196236,3394,168,15Min 50Sec
158,The Micro-Wins Advantage of High-Impact Humans #leadership #productivity #service,Sunday,2023-04-02,11:55:37,4915,426,4,21Sec
159,Connect to the Shortness of Life [to Transcend Your Limits] #leadership #productivity #service,Wednesday,2023-03-22,14:14:33,5405,309,2,1Min 0Sec
160,Release Only Magic [for a World-Class Company] #leadership #productivity #service,Tuesday,2023-03-21,17:58:00,5011,324,4,37Sec
161,Outer Success Without Spiritual Triumph Is an Empty Win #leadership #productivity #service,Sunday,2023-03-19,17:22:45,3077,225,5,45Sec
162,Criticism Is the Price Brave People Pay to Arrive at Iconic #leadership #productivity #service,Sunday,2023-03-19,13:34:57,2485,176,6,36Sec
163,Rise Above Trolls #leadership #productivity #service,Friday,2023-03-17,17:56:18,3130,260,5,53Sec
164,Take Your Power Back #leadership #productivity #service,Friday,2023-03-17,13:27:38,2809,243,2,39Sec
165,Develop Ferocious Focus #leadership #productivity #service,Thursday,2023-03-16,13:30:06,3660,368,8,53Sec
166,Purify Your Heartset To Maximie Your Power #leadership #productivity #service,Wednesday,2023-03-15,14:54:03,2567,164,3,34Sec
167,Commune With the Great Masters to x25 Your Creativity #leadership #productivity #service,Tuesday,2023-03-14,16:47:49,2174,143,1,34Sec
168,You'll Never Go Higher Than Your Self-Identity #leadership #productivity #service,Monday,2023-03-13,12:52:34,4116,360,7,44Sec
169,It's Wiser to Craft 1 Masterwork Than Release 1000 Mediocrities #leadership #productivity #service,Sunday,2023-03-12,23:17:16,3205,193,6,38Sec
170,"Be a ""Perfect Moment-Creator"" for Your Family #leadership #productivity #service",Sunday,2023-03-12,16:01:54,3652,259,2,31Sec
171,Do THIS to Boost Your Cognitive Bandwidth #leadership #productivity #service,Saturday,2023-03-11,16:54:07,6296,550,6,1Min 0Sec
172,Micro-Wins To Become The Best Version Of Yourself #leadership #productivity #service,Wednesday,2023-03-08,11:29:20,3613,285,6,56Sec
173,You Cant Inspire Others Until You Get Inspired #leadership #productivity #service,Tuesday,2023-03-07,19:34:50,2777,201,2,46Sec
174,The Victim VS. Leader Mindset #leadership #productivity #service,Friday,2023-03-03,10:15:26,4509,420,5,59Sec
175,Every Person Who Has Shown Up In Your Life Arrived to Help You Become the Person You Now Are,Friday,2023-02-10,21:29:09,8252,619,12,38Sec
176,How Keeping a Journal Can Save and Change Your Life #leadership #productivity #service,Tuesday,2023-01-10,11:31:26,12401,1043,12,30Sec
177,Suffering Is a Blessing in Wolfs Clothing #leadership #productivity #service,Wednesday,2022-12-14,21:56:17,9337,718,11,38Sec
178,Life Lessons From The Worlds TOP Performers [special video] | Robin Sharma,Monday,2022-12-05,19:27:39,43792,1432,60,4Min 57Sec
179,How to Become One of the Rare-Air Few #leadership #productivity #service,Friday,2022-12-02,18:33:16,7417,520,10,49Sec
180,The 5 R Model to Make You Stronger #leadership #productivity #service,Thursday,2022-12-01,15:56:38,12108,556,28,1Min 30Sec
181,Know YourGenius Point#leadership #productivity #service,Wednesday,2022-11-30,20:33:32,6416,449,8,44Sec
182,The CAN'T Versus CAN Mindset #leadership #productivity #service,Wednesday,2022-11-23,19:52:36,7728,639,6,36Sec
183,Lead With Kindness | Robin Sharma,Thursday,2022-11-17,14:34:44,11813,561,43,2Min 52Sec
184,To Lead Is to Serve #leadership #productivity #service,Tuesday,2022-11-15,19:28:38,5280,277,1,31Sec
185,Go Deep [In a World That Reveres Superficiality] #leadership #productivity #service,Monday,2022-11-14,18:31:44,6061,461,1,57Sec
186,Morning Excercise Is a Game-Changer #leadership #productivity #service,Sunday,2022-11-13,23:27:20,11114,949,7,51Sec
187,The Key to Sustained Habit Installation? #leadership #productivity #service,Thursday,2022-11-03,12:09:41,8803,676,6,45Sec
188,Turn Failure Into Fortune #leadership #productivity #service,Saturday,2022-10-15,13:48:15,4189,376,21,47Sec
189,Do This to Avoid Life Regrets #leadership #productivity #service,Friday,2022-10-14,09:29:11,9065,797,9,49Sec
190,Persistency as a Pathway to Legendary #leadership #productivity #service,Wednesday,2022-10-12,16:22:28,9107,1003,14,59Sec
191,How to Banish Fear #leadership #productivity #service,Tuesday,2022-10-11,17:36:34,5877,487,12,58Sec
192,Encode the Leader Without a Title Mindset #leadership #productivity #service,Monday,2022-10-10,16:59:26,5420,401,3,36Sec
193,Connect With Your Mortality To Lead Your Highest Life #leadership #productivity #service,Friday,2022-10-07,13:27:40,4361,330,5,56Sec
194,1 Question to Ask Yourself #leadership #productivity #service,Monday,2022-10-03,12:37:58,5404,450,6,45Sec
195,Reclaim Your Authentic Power to Fireproof Your Strength #leadership #productivity #service,Saturday,2022-10-01,15:36:52,5515,469,7,40Sec
196,How Titans of Industry Beat Irrelevance #leadership #productivity #service,Friday,2022-09-30,18:28:00,5709,424,7,1Min 0Sec
197,How Detox Your Ecosystem + Release the Critics #leadership #productivity #service,Tuesday,2022-09-06,17:46:43,9580,910,11,47Sec
198,Isolate Yourself to Fireproof Your Productivity#leadership #productivity #service,Thursday,2022-09-01,09:58:03,10241,1114,24,58Sec
199,A Potent Insight on Total Craft Mastery #leadership #productivity #service,Sunday,2022-08-28,18:55:09,7489,672,5,55Sec
200,The Little-Known Success Formula of the Sports Superstars #leadership #productivity #service,Saturday,2022-08-27,20:47:31,8904,654,6,57Sec
201,Persistency as a Pathway to Legendary #leadership #productivity #service,Wednesday,2022-08-24,18:09:15,6340,599,16,59Sec
202,How to Understand People Who Have Hurt You #leadership #productivity #service,Tuesday,2022-08-23,06:33:21,9148,896,16,53Sec
203,Started my new book today! Heres my writing process.,Thursday,2022-08-11,17:25:05,7846,545,23,58Sec
204,How To Transform a Bad Day Into a Great One #leadership #productivity #service,Saturday,2022-07-30,18:51:37,25453,1061,39,49Sec
205,The Mindset Of Leadership#leadership #productivity #service,Wednesday,2022-07-27,08:12:54,10438,931,17,54Sec
206,Encode the Daily Nature Walk Protocol #leadership #productivity #service,Monday,2022-07-25,09:45:02,5316,423,10,43Sec
207,Listen Deeply to x5 All Of Your Relationships #leadership #productivity #service,Thursday,2022-07-14,00:25:53,8682,662,9,32Sec
208,How to Reclaim Your Primal Genius #leadership #productivity #service,Sunday,2022-07-10,14:08:57,9437,792,15,59Sec
209,Get Comfortable Being Uncomfortable #leadership #productivity #service,Saturday,2022-07-09,17:06:10,8579,755,3,50Sec
210,1 TOP [AND UNUSUAL] HABIT FOR WINNING #leadership #productivity #service,Friday,2022-07-08,14:09:31,9391,898,13,55Sec
211,Build Your Relationship with Your Finest Self to x100 Your Impact #leadership #productivity #service,Monday,2022-07-04,15:24:03,8690,753,8,56Sec
212,Stop Being a Prisoner of Your Own Past #leadership #productivity #service,Saturday,2022-07-02,17:03:49,11087,1050,25,56Sec
213,How Visionaries Produce Iconic Results #leadership #productivity #service,Thursday,2022-06-30,16:12:08,6937,589,15,41Sec
214,One Thing I Wish I Knew When I Was 20 Years Old #leadership #productivity #service,Wednesday,2022-06-29,00:03:35,7478,619,3,51Sec
215,Fear Becomes Faith [Once You Walk Into It] #leadership #productivity #service,Monday,2022-06-27,00:19:28,6869,635,6,57Sec
216,Emotional Healing to 5X Your Mastery #leadership #productivity #service,Saturday,2022-06-25,13:14:27,7601,561,12,38Sec
217,How Unresolved Trauma Can Affect Your Whole Life #leadership #productivity #service,Wednesday,2022-06-22,13:28:51,7178,588,13,44Sec
218,How Keeping a Journal Can Change and Save Your Life,Friday,2022-06-17,12:59:11,21619,1895,22,57Sec
219,How to Build a Legendary Life | #leadership #productivity #service,Wednesday,2022-06-15,15:50:55,6924,468,14,35Sec
220,Protect Your Good Name [At All Costs]#leadership #productivity #service,Saturday,2022-06-04,09:56:42,11813,1045,21,56Sec
221,You can play with your phone all day or you can change the world. You dont get to do both.,Thursday,2022-06-02,20:21:47,30032,2207,33,51Sec
222,Doing the difficult things that youve never done awakens the talents you never knew you had. 🙏🏽,Wednesday,2022-06-01,20:31:31,14366,1484,21,36Sec
